"9172233","Puerto Triunfo","-74.70411","5.93964"
"4172164","3","270000000","854","CASA CAMPESTRE EN VENTA EN Puerto Triunfo"
"4346124","None","700000000","178","Venta de casa en Doradal"
"3422133","4","1000000000","16200","Finca En Venta En Puerto Triunfo Doradal Cod. VRPR6731"
"4331460","None","2147483647","None","Venta Finca Doradal"
"4329891","None","60000000","12000","Venta Lote En Doradal"
"4329914","None","92000000","6400","Lotes Doradal"
"4345904","None","187410000","None","LOTE en VENTA en Puerto Triunfo Puerto Triunfo"
"4345149","None","800000000","None","LOTE en VENTA en Puerto Triunfo Doradal"
"4331061","None","750000","100","Alquiler Finca Doradal"
"3433415","4","4800000000","None","Espectacular Lote En Doradal. 400 Cuadras"
"3433297","4","68000000","None","L. Espectaculares Lotes En Doradal. Areas Desde 3,400m2 Hasta 10,000m2"
"2029168","3","2500000000","None","VENTA FINCA EN PUERTO TRIUNFO "
"2622018","3","500000000","95","FINCA GANADERA SECTOR DORADAL MAGDALENA MEDIO"
"4330218","None","800000","None","Alquiler Finca Doradal"
"4379457","None","1550000000","50500","VENTA FINCA turistica 50.500mts2 Doradal"
"4446459","None","1000000000","None","FINCA en VENTA en Puerto Triunfo DORADAL"
