"9609514","Ciudad Bolívar","-76.01088","5.83945"
"4181916","2","145000000","52","APARTAMENTO LA ESTANCIA"
"4201155","2","153500000","61","Villaverde, Condados del Recreo"
"2801915","2","150000000","47","VENDO APARTAMENTO EN LA ESTANCIA SAN LORENZO DE LA LLANADA "
"4201136","3","156000000","63","Torres de Bellavista, Madelena"
"3713681","2","160000000","59","VENDO O PERMUTO APARTAMENTO PERDOMO , GARAJE PROPIO, ASCENSOR"
"4195166","2","149000000","48","APARTAMENTO EN VENTA"
"1736816","5","4880000000","1561600","FINCA EN VENTA EN Ciudad Bolívar"
"4054353","2","345000000","None","CASA EN VENTA AL SUR DE BOGOTA EN EL BARRIO LA RESURRECCIÓN "
"2372533","3","1600000000","3900","ESPECTACULAR CASA CAMPESTRE EN VENECIA ANTIOQUIA"
"4150640","None","140000000","55","GANGA APTO CLASICO 55M2 - PINOS DEL SUR CALENDARIA LA NUEVA"
"4411134","None","180000000","4300","Lotes en Parcelación El Vergel en Ciudad Bolivar Suroeste Antioqueño"
"4362683","None","641520000","None","VENTA de BODEGAS en CIUDAD BOLIVAR"
"3989752","None","165000000","None","Vendo Casa Remodelada en el conjunto El Ensueño al sur de Bogotá "
"4065452","None","2300000000","600","Venta de bodega en  Bogotá"
"4355412","None","2147483647","None","Venta de finca en Ciudad Bolívar, Antioquia"
"2378261","3","650000000","31171","FINCA CAFETERA AUTOSOSTENIBLE Y BONITA"
"2602012","3","190000000","None","APARTAMENTO GRANDE PARA ESTRENAR EN CIUDAD BOLVAR"
"4335846","None","170000000","None","Lotes en venta en parcelación Ciudad Bolívar Antioquia"
"2457328","3","1522500000","73","EXCELENTE FINCA CAFETERA CON FULL INFRAESTRUCTURA"
"3419754","3","1000000","20","Cundinamarca - Bogotá D.C."
"2188393","3","1300000000","None","HERMOSA Y LUJOSA FINCA DE USO MIXTO EN BOLVAR"
"4378623","None","1800000000","None","Venta de finca en Ciudad Bolivar, Antioquia"
"4336406","None","170000000","4300","Hermosos Lotes En Parcelación"
