"9172235","Sabaneta","-75.62738","6.1289"
"4228922","4","322500000","81","Apartamento en Venta Sabaneta Antioquia."
"4265342","4","275000000","66","Apartamento en Venta. Sabaneta, Entre amigos. "
"4271044","3","330000000","68","Apartamento venta Sabaneta loma san Jose"
"4273333","4","326500000","81","APARTAMENTO EN VENTA EN SABANETA SECTOR CALLE LARGA"
"4203972","4","532000000","106","Apartamento en Venta. Sabaneta, Pan de Azúcar."
"4067221","3","380000000","78","Apartamento en Venta. Sabaneta, Mayorca."
"4082486","4","280000000","60","Venta de Apartamento en Sabaneta sector Villas del Carmen"
"4087253","4","355000000","78","Apartamento en venta Sabaneta- San jose 78 mt2"
"4284145","4","530000000","101","APARTAMENTO EN VENTA SABANETA, AVES MARIA"
"4284159","4","345000000","78","apartamento  en venta Sabaneta Los Alcázares "
"4285070","4","320000000","78","Apartamento en Venta en Sabaneta San José "
"4292101","4","262000000","57","Apartaestudio en Venta. Sabaneta, Los Alcázares. "
"4292104","4","306000000","62","Apartamento en Venta. Sabaneta, Los Alcázares. "
"4292341","4","325000000","68","SE VENDE ESPECTACULAR APARTAMENTO SECTOR SABANETA "
"4292924","4","365000000","77","Apartamento en Venta Calle Larga Sabaneta Antioquia."
"4293924","2","260000000","59","Venta. Apartamento. Sabaneta. La Doctora. P. 19 C. 4836617"
"4293933","4","460000000","100","Apartamento en Venta Sabaneta La Doctora "
"4240962","4","350000000","75","Venta. Apartamento. Sabaneta. Trapiche. P.25 C. 4758819"
"4247144","3","325000000","74","Apartamento en Venta en Sabaneta - Holanda"
"4275727","3","230000000","60","APARTAMENTO EN VENTA SABANETA, SECTOR LA DOCTORA, PARQUEADERO Y ÚTIL"
"4276174","4","340000000","71","VENDO APARTAMENTO EN SABANETA "
"4278147","4","395000000","83","Venta. Apartamento. Sabaneta. Lomitas. P. 8 C.4814706"
"4279555","4","485000000","128","APARTAMENTO EN VENTA SABANETA AVES MARÍA"
"4282884","4","1400000000","650","Antioquia - Sabaneta - Sabaneta"
"4132938","4","530000000","101","Venta de apartamento en Sabaneta las lomitas "
"4132953","4","310000000","88","Venta de apartamento Sabaneta aves María"
"4144326","5","395000000","99","Se Vende Apartamento en Las Lomitas, Sabaneta"
"4157312","4","460000000","92","Apartamento Venta Sabaneta El Carmelo 92m2"
"4157341","5","550000000","101","Venta Apartamento Sabaneta 101 m2"
"4301134","4","320000000","68","Venta de Apartamento Calle Larga Sabaneta""9172235","Sabaneta","-75.62738","6.1289"
"4310973","3","330000000","55","Venta de Apartamento Alcazares Sabaneta"
"4311931","4","306000000","62","VENDO APARTAMENTO EN SABANETA RESTREPO NARANJO"
"4311984","4","381000000","79","Apartamento en Venta. Sabaneta, Asdesillas."
"4165073","4","377000000","74","Comodo Apartamento con excelentes zonas verdes "
"4174565","4","360000000","77","Apartamento en Parque residencial un Sitio Ideal"
"4175306","3","260000000","60","Apartamento en Barrio Residencial  con Vista"
"4180279","4","220000000","96","Antioquia - Sabaneta"
"4191585","4","230000000","59","VENDO APARTAMENTO EN SABANETA 59M2 A 2 CUADRAS DEL METRO"
"4193673","5","360000000","75","Comodo Apartamento  con  linda Vista"
"4193708","4","320000000","57","VENTA APARTAMENTO NUEVO ZONA RESIDENCIAL SABANETA"
"4201657","3","400000000","84","APARTAMENTO EN VENTA EN SABANETA"
"4035780","4","420000000","82","Antioquia - Sabaneta - San Jose"
"4024823","4","605000000","139","Antioquia - Sabaneta - Loma De San José"
"4049226","4","395000000","99","SE VENDE ESPECTACULAR APARTAMENTO EN SABANETA "
"4049230","5","395000000","99","SE VENDE APARTAMENTO EN SABANETA MUY BIEN UBICADO"
"4132935","4","480000000","127","Venta de apartamento en Sabaneta Aves María"
"4132945","4","350000000","87","Venta de apartamento en Sabaneta Aves María"
"4132959","4","950000000","198","PH en Sabaneta Aves Maria Lindos Acabados"
"4138337","4","325000000","77","Apartamento en Venta Sector de San José, Sabaneta Antioquia"
"4144232","5","395000000","99","Se Vende Apartamento en Las Lomitas, Sabaneta"
"4156203","4","380000000","89","Apartamento en Venta San José Sabaneta Antioquia."
"4098177","5","598000000","172","Penthouse en Venta. Sabaneta, Cañaveralejo."
"4271044","3","330000000","68","Apartamento venta Sabaneta loma san Jose"
"4273333","4","326500000","81","APARTAMENTO EN VENTA EN SABANETA SECTOR CALLE LARGA"
"4275727","3","230000000","60","APARTAMENTO EN VENTA SABANETA, SECTOR LA DOCTORA, PARQUEADERO Y ÚTIL"
"4276174","4","340000000","71","VENDO APARTAMENTO EN SABANETA "
"4278147","4","395000000","83","Venta. Apartamento. Sabaneta. Lomitas. P. 8 C.4814706"
"4228922","4","322500000","81","Apartamento en Venta Sabaneta Antioquia."
"4240962","4","350000000","75","Venta. Apartamento. Sabaneta. Trapiche. P.25 C. 4758819"
"4292101","4","262000000","57","Apartaestudio en Venta. Sabaneta, Los Alcázares. ""9172235","Sabaneta","-75.62738","6.1289"
"4271044","3","330000000","68","Apartamento venta Sabaneta loma san Jose"
"4273333","4","326500000","81","APARTAMENTO EN VENTA EN SABANETA SECTOR CALLE LARGA"
"4275727","3","230000000","60","APARTAMENTO EN VENTA SABANETA, SECTOR LA DOCTORA, PARQUEADERO Y ÚTIL"
"4276174","4","340000000","71","VENDO APARTAMENTO EN SABANETA "
"4278147","4","395000000","83","Venta. Apartamento. Sabaneta. Lomitas. P. 8 C.4814706"
"4228922","4","322500000","81","Apartamento en Venta Sabaneta Antioquia."
"4240962","4","350000000","75","Venta. Apartamento. Sabaneta. Trapiche. P.25 C. 4758819"
"4292101","4","262000000","57","Apartaestudio en Venta. Sabaneta, Los Alcázares. "
"4292104","4","306000000","62","Apartamento en Venta. Sabaneta, Los Alcázares. "
"4292341","4","325000000","68","SE VENDE ESPECTACULAR APARTAMENTO SECTOR SABANETA "
"4292924","4","365000000","77","Apartamento en Venta Calle Larga Sabaneta Antioquia."
"4293924","2","260000000","59","Venta. Apartamento. Sabaneta. La Doctora. P. 19 C. 4836617"
"4293933","4","460000000","100","Apartamento en Venta Sabaneta La Doctora "
"4301134","4","320000000","68","Venta de Apartamento Calle Larga Sabaneta"
"4132938","4","530000000","101","Venta de apartamento en Sabaneta las lomitas "
"4132953","4","310000000","88","Venta de apartamento Sabaneta aves María"
"4144326","5","395000000","99","Se Vende Apartamento en Las Lomitas, Sabaneta"
"4157312","4","460000000","92","Apartamento Venta Sabaneta El Carmelo 92m2"
"4157341","5","550000000","101","Venta Apartamento Sabaneta 101 m2"
"1641191","4","580000000","264","Antioquia - Medellín - Zaratoga"
"4301603","5","395000000","99","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR AVES MARÍA."
"4302280","4","285000000","60","Apartamento en Venta Sabaneta Alcazar "
"4303548","5","497000000","98","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR PRADOS DE SABANETA."
